Customer ID,Name,Customer type,Registration no,VAT no,City,Country,Registration date,Updated date
CUST-962512,Nexbit Industrie GmbH,business,DE990078456,DE99007845,Cologne,DE,2012-08-18,2014-09-01
CUST-252537,Drelnex AB,business,SE556882345601,SE 556882345601,Gothenburg,SE,2022-01-31,2022-08-05
CUST-684995,Quordan Electronica BV,business,NL441122334B01,NL441122334B01,Amsterdam,NL,2014-04-20,2015-12-29
CUST-937933,Veltron Technik GmbH,business,DE312445678,DE31244567,Berlin,DE,2021-03-25,2021-04-28
CUST-352175,Drexon Elektronik GmbH,business,DE778856234,DE77885623,Stuttgart,DE,2018-09-19,2020-11-06
CUST-306899,Quorbit Solutions GmbH,business,DE667745123,DE6677451,Frankfurt,DEU,2014-04-16,2025-09-30
CUST-441737,Zornex Handel GmbH,business,DE556634012,DE55663401,Hamburg,DE,2021-02-24,2022-03-14
CUST-406524,Zeltron Electronique SARL,business,FR11223344556,FR1122334455,Lyon,FR,2021-12-23,2024-09-09
CUST-682893,Warstech Sp. z o.o.,business,PL5567123456,PL5567123456,Warsaw,PL,2012-03-28,2017-01-28
CUST-220651,Trimvolt GmbH,business,DE101189567,DE10118956,Leipzig,DE,2022-05-11,2023-11-25
CUST-599370,Nexivo Solutions SARL,business,FR22445566778,FR22445566778,Paris,France,2014-08-07,2019-09-28
CUST-349362,Vektaro Sverige AB,business,SE556771234501,SE556771234501,Stockholm,SE,2022-07-25,2025-02-05
CUST-365005,Blipware Systems GmbH,business,DE445523901,DE 44552390,Munich,Deutschland,2016-04-12,2016-09-05
CUST-302511,Fomtec Vertriebs GmbH,business,DE889967345,,Dusseldorf,DE,2017-06-08,2021-02-13
CUST-741029,Plonix Distributie BV,business,NL553344556B01,,Utrecht,NLD,2011-10-26,2016-05-21
