Customer ID,Name,Customer type,Registration no,VAT no,City,Country,Registration date,Updated date
CUST-771088,Brexon Handel GmbH,business,DE838908273,DE838908273,Berlin,DE,2017-04-10,2025-12-21
CUST-975136,Zoltrix BV,business,NL496442646B84,NL496442646B84,Rotterdam,NL,2019-08-22,2021-02-24
CUST-877236,Nexbit Holland BV,business,NL574417266B80,NL574417266B80,Groningen,NL,2022-07-31,2022-09-18
CUST-373432,Trimvex Solutions SAS,business,FR36819112790,FR36819112790,Toulouse,FR,2015-05-10,2018-05-31
CUST-549245,Technobit Handel GmbH,business,DE726563708,DE726563708,Dusseldorf,DE,2014-12-02,2016-07-20
CUST-176819,Drexim SARL,business,FR78328872698,FR78328872698,Strasbourg,FR,2012-12-21,2020-11-18
CUST-802729,Voltaro Technik GmbH,business,DE386665249,DE386665249,Hamburg,DE,2011-08-08,2025-05-06
CUST-526117,Vektaro Sverige AB,business,SE782787430916,SE782787430916,Stockholm,SE,2015-04-24,2025-02-01
CUST-987204,Drelnex BV,business,NL154544899B21,NL154544899B21,Eindhoven,NL,2016-03-16,2016-10-12
CUST-107540,Quantex GmbH,business,DE176228245,DE176228245,Munich,DE,2011-04-28,2016-07-15
CUST-888387,Vektax Electronique SAS,business,FR19110002396,FR19110002396,Nantes,FR,2022-08-18,2023-04-09
CUST-653306,Megabit Systeme GmbH,business,DE751325257,DE751325257,Dusseldorf,DE,2014-10-02,2025-04-01
CUST-838797,Plexbit Handel GmbH,business,DE174684276,,Stuttgart,DE,2015-02-10,2023-11-11
CUST-814825,Krypton Handel GmbH,business,DE676567501,DE676567501,Stuttgart,DE,2017-08-18,2018-12-17
CUST-183667,Stronex Systeme GmbH,business,DE349957310,DE349957310,Dresden,DE,2018-07-11,2021-09-21
CUST-340174,Fluxbit Systeme GmbH,business,DE982403818,,Stuttgart,DE,2017-01-28,2021-08-28
CUST-246413,Optivolt GmbH,business,DE364814270,DE364814270,Nuremberg,DE,2022-02-02,2023-08-24
CUST-795613,Quordan Electronica BV,business,NL211225158B27,NL211225158B27,Amsterdam,NL,2012-05-26,2024-11-21
CUST-571029,Drexon Elektronik GmbH,business,DE732719211,DE732719211,Leipzig,DE,2010-02-23,2013-10-22
CUST-724834,Infovolt GmbH,business,DE602564736,DE602564736,Munich,DE,2022-05-30,2022-07-22
CUST-498382,Nexbit Industrie GmbH,business,DE203848421,DE203848421,Stuttgart,DE,2017-09-18,2024-07-25
CUST-288073,Florbix Teknik AB,business,SE960420184902,SE960420184902,Malmoe,SE,2015-07-26,2018-08-21
CUST-645175,Kraktech Sp. z o.o.,business,PL3880327491,PL3880327491,Krakow,PL,2011-07-28,2019-01-21
CUST-891952,Nanobit GmbH,business,DE883757514,DE883757514,Cologne,DE,2016-12-28,2021-07-19
CUST-627276,Zeltron Electronique SARL,business,FR77269042105,,Lyon,FR,2021-05-23,2021-12-03
CUST-863934,Quormax Nordic AB,business,SE446975066979,SE446975066979,Gothenburg,SE,2021-06-21,2022-03-14
CUST-745414,Bruxbit SARL,business,BE7739255769,BE7739255769,Brussels,BE,2010-01-04,2016-11-27
CUST-806073,Vectorex GmbH,business,DE801642483,DE801642483,Leipzig,DE,2012-03-17,2013-08-25
CUST-666390,Baribit SRL,business,IT27525947595,IT275259475,Bari,IT,2018-08-04,2020-05-20
CUST-922157,Gammabit GmbH,business,DE943026227,DE943026227,Dresden,DE,2019-06-28,2025-10-20
CUST-559381,Omnitech Handel GmbH,business,DE655742829,DE655742829,Munich,DE,2015-07-24,2018-02-28
CUST-520521,Betabit Systeme GmbH,business,DE162959284,DE1629592,Stuttgart,DE,2010-01-18,2018-11-20
CUST-812526,Blipcore Nordic AB,business,SE463080281895,SE463080281895,Stockholm,SE,2012-08-02,2018-07-11
CUST-234628,Flexon Handel GmbH,business,DE808402051,DE808402051,Stuttgart,DE,2022-05-01,2023-05-04
CUST-547470,Venetobit SRL,business,IT72482634267,IT72482634267,Venice,IT,2020-08-24,2023-04-02
CUST-503906,Warstech Sp. z o.o.,business,PL6111349421,,Warsaw,PL,2019-10-13,2019-11-18
CUST-148458,Brugbit NV,business,BE5607762160,BE5607762160,Bruges,BE,2022-11-29,2024-01-31
CUST-787277,Zirconex Elektronik GmbH,business,DE636045484,DE636045484,Stuttgart,DE,2020-04-16,2021-12-22
CUST-202664,Zenobit GmbH,business,DE154318806,DE154318806,Munich,DE,2022-02-15,2022-04-16
CUST-103717,Fomvex Systemen BV,business,NL458153605B26,NL458153605B26,Den Haag,Netherlands,2015-11-16,2017-10-07
CUST-217308,Trimbit Handel BV,business,NL180792472B98,NL180792472B98,Amsterdam,NL,2022-03-28,2022-07-09
CUST-424308,Wrocbit Sp. z o.o.,business,PL8159250505,PL8159250505,Wroclaw,PL,2016-08-19,2022-12-06
CUST-660086,Keltron Vertriebs GmbH,business,DE882893941,DE882893941,Stuttgart,DE,2020-05-14,2022-07-30
CUST-617488,Stromex Systeme GmbH,business,DE197613238,DE197613238,Hamburg,DE,2012-06-17,2015-12-21
CUST-555884,Quatrix Elektronik GmbH,business,DE269820594,DE269820594,Hamburg,DE,2015-11-28,2021-08-08
CUST-169403,Nexaron GmbH,business,DE326541099,DE326541099,Frankfurt,DE,2022-09-21,2024-07-26
CUST-444207,Zoltrix Sverige AB,business,SE408264090646,SE408264090646,Malmoe,SE,2021-06-05,2023-10-01
CUST-766563,Drivex GmbH,business,DE995619255,DE995619255,Frankfurt,DE,2018-04-21,2022-05-15
CUST-182582,Databit GmbH,business,DE191969690,DE191969690,Hamburg,DE,2011-07-21,2023-07-31
CUST-753425,Gdanskbit Sp. z o.o.,business,PL4642197907,PL4642197907,Gdansk,Poland,2016-09-26,2022-07-04
CUST-181247,Palermobit SRL,business,IT51719357531,IT51719357531,Palermo,IT,2017-07-14,2021-03-14
CUST-863587,Webbit Handel GmbH,business,DE464323393,DE464323393,Frankfurt,DE,2012-06-14,2018-02-09
CUST-456778,Fomtec Vertriebs GmbH,business,DE398362082,DE3983620,Munich,DE,2017-07-20,2018-10-11
CUST-960394,Trimbit Handel AB,business,SE345790651066,,Gothenburg,SE,2014-05-02,2023-05-09
CUST-656932,Firenzbit SRL,business,IT87257409796,IT87257409796,Florence,IT,2019-12-05,2025-09-01
CUST-132938,Rapidbit Systeme GmbH,business,DE454794895,DE 454794895,Dresden,DE,2015-05-04,2018-07-17
CUST-324643,Solaron GmbH,business,DE678998028,DE6789980,Frankfurt,DE,2022-10-22,2025-07-16
