delivery_confirm_id,order_id,delivery_confirm_date,delivery_country
CONF-100089,ORD-2026-933206,2027-01-20,Netherlands
CONF-844144,ORD-2026-400441,2027-01-23,Poland
CONF-857501,ORD-2026-676276,2027-01-25,Sweden
CONF-601515,ORD-2026-993933,2027-01-24,Belgium
CONF-776703,ORD-2026-712546,22-01-2027,Poland
CONF-444136,ORD-2026-205896,2027-01-06,Belgium
CONF-273878,ORD-2026-148026,2027-01-21,Italy
CONF-949330,ORD-2027-183057,2027-01-26,Germany
CONF-604201,ORD-2027-232981,12-02-2027,Germany
CONF-408824,ORD-2027-428429,2027-01-26,Poland
CONF-113937,ORD-2026-947228,2027-01-21,Germany
CONF-834781,ORD-2026-596330,24/01/2027,France
CONF-320843,ORD-2026-884727,2027-02-04,Germany
CONF-199146,ORD-2026-807896,2027-02-10,France
CONF-381370,ORD-2026-907921,2027-02-01,Italy
CONF-234580,ORD-2026-921861,2027-01-20,Italy
CONF-728700,ORD-2026-820442,2027-01-20,Belgium
CONF-626883,ORD-2027-863124,2027-02-09,Poland
CONF-885100,ORD-2027-384111,2027-02-17,Germany
CONF-194336,ORD-2027-680278,2027-02-03,France
CONF-695148,ORD-2027-191061,2027-02-07,Poland
CONF-405654,ORD-2027-804299,2027-02-20,Germany
CONF-324164,ORD-2027-626725,04-02-2027,Poland
CONF-256532,ORD-2026-278852,2027-01-30,France
CONF-454928,ORD-2027-398090,2027-02-15,Germany
CONF-858472,ORD-2027-377370,2027-02-15,France
CONF-961545,ORD-2026-717558,2027-02-02,Italy
CONF-662473,ORD-2027-269170,2027-02-04,France
CONF-894520,ORD-2027-216211,2027-02-12,Italy
CONF-660453,ORD-2026-401244,2027-01-13,Belgium
CONF-786433,ORD-2027-487593,1 Feb 2027,Sweden
CONF-997670,ORD-2027-253672,2027-02-02,Germany
CONF-629342,ORD-2026-817956,2027-01-23,Germany
CONF-997728,ORD-2026-171542,2027-01-27,Sweden
CONF-765181,ORD-2027-683165,2027-02-13,Poland
CONF-167077,ORD-2027-375201,2027-02-20,Poland
CONF-829762,ORD-2027-199907,2027-01-26,Sweden
CONF-423896,ORD-2026-730437,2027-01-22,Netherlands
CONF-338804,ORD-2027-862760,28-01-2027,Poland
CONF-205335,ORD-2026-881782,2027-02-03,Germany
CONF-358830,ORD-2026-440998,2027-01-27,Poland
CONF-490219,ORD-2026-647098,2027-02-06,Sweden
CONF-943584,ORD-2027-775990,2027-02-19,Poland
CONF-952092,ORD-2026-567220,2027-01-25,Italy
CONF-333249,ORD-2027-211072,2027-01-26,Belgium
CONF-430536,ORD-2026-442157,2027-02-09,Netherlands
CONF-167384,ORD-2026-488414,2027-02-12,France
CONF-416115,ORD-2027-548377,2027-02-09,Italy
CONF-303019,ORD-2026-202988,2027-02-17,Poland
CONF-889649,ORD-2027-868136,14/02/2027,Netherlands
CONF-244360,ORD-2027-134677,2027-02-22,France
CONF-125918,ORD-2027-749609,8 Feb 2027,Poland
CONF-477392,ORD-2027-238948,05/02/2027,Sweden
CONF-126927,ORD-2027-874368,2027-01-31,France
CONF-840880,ORD-2026-567541,2027-01-15,Belgium
CONF-237148,ORD-2026-437477,2027-01-26,France
CONF-193190,ORD-2026-273021,07-02-2027,Poland
CONF-261156,ORD-2027-676289,2027-01-19,Poland
CONF-782902,ORD-2027-328411,19-02-2027,Netherlands
CONF-443598,ORD-2027-746036,2027-01-25,France
CONF-303663,ORD-2026-196407,2027-02-04,Netherlands
CONF-706507,ORD-2027-898169,2027-01-26,Netherlands
CONF-808602,ORD-2026-112964,2027-01-15,Belgium
CONF-519758,ORD-2026-317782,1 Feb 2027,Netherlands
CONF-488477,ORD-2027-501312,2027-01-28,Netherlands
CONF-244562,ORD-2026-670792,2027-02-02,Germany
CONF-889256,ORD-2026-484682,2027-01-26,Germany
CONF-536019,ORD-2026-888977,2027-02-05,Poland
CONF-282605,ORD-2026-879746,2027-01-05,Sweden
CONF-601111,ORD-2026-703171,2027-01-10,France
CONF-929714,ORD-2026-556297,2027-02-09,Netherlands
CONF-393678,ORD-2027-678944,2027-02-03,France
CONF-500327,ORD-2027-408261,2027-01-28,Germany
CONF-173378,ORD-2027-382495,2027-02-02,Netherlands
CONF-390870,ORD-2027-828205,2027-01-27T17:27:00,Germany
CONF-874703,ORD-2027-489933,2027-02-07,Belgium
CONF-450964,ORD-2026-749253,03-02-2027,Sweden
CONF-864305,ORD-2027-437433,2027-01-30,Italy
CONF-810656,ORD-2027-405759,2027-02-11,Germany
CONF-618008,ORD-2026-111901,29 Jan 2027,Belgium
CONF-350127,ORD-2026-648684,2027-02-07,Sweden
CONF-252956,ORD-2026-704864,2027-01-05,Belgium
CONF-648273,ORD-2027-924566,2027-02-09,Germany
CONF-104383,ORD-2026-961639,27/01/2027,Germany
CONF-979226,ORD-2026-985893,15/01/2027,Poland
CONF-260947,ORD-2027-717499,2027-02-05,Sweden
CONF-465254,ORD-2026-713635,2027-02-09,Poland
CONF-231660,ORD-2026-552091,24-01-2027,Poland
CONF-804237,ORD-2026-822040,2027-01-08,Netherlands
CONF-405202,ORD-2026-494763,2027-01-22,Germany
CONF-599250,ORD-2027-785572,2027-01-26,Germany
CONF-624078,ORD-2026-454877,2027-01-27,Italy
CONF-304553,ORD-2027-637422,2027-02-02,Germany
CONF-491270,ORD-2027-656011,2027-02-16,Poland
CONF-155021,ORD-2026-276470,22-01-2027,Belgium
CONF-817204,ORD-2027-493754,2027-02-04,Germany
CONF-246648,ORD-2026-834312,2027-01-10,Netherlands
CONF-203818,ORD-2027-471692,2027-02-17,France
CONF-254525,ORD-2026-957710,2027-02-10,France
CONF-210592,ORD-2027-912323,2027-02-12,Netherlands
CONF-387075,ORD-2026-982417,2027-01-18,Belgium
CONF-813011,ORD-2027-534439,2027-01-24,Belgium
CONF-587853,ORD-2027-419491,2027-02-11,Germany
CONF-811249,ORD-2027-257212,2027-02-03T11:32:00,Germany
CONF-370143,ORD-2026-114663,2027-02-10,Italy
CONF-594932,ORD-2027-641737,2027-01-29,France
CONF-634363,ORD-2026-293743,2027-01-27,Netherlands
CONF-147976,ORD-2026-250616,2027-01-06,Poland
CONF-223025,ORD-2026-266309,21 Jan 2027,Belgium
CONF-480443,ORD-2027-680990,2027-01-28,Germany
CONF-341459,ORD-2027-771425,2027-02-11,Germany
CONF-332281,ORD-2026-884616,2027-02-09,Poland
CONF-724094,ORD-2026-742818,2027-01-24,Sweden
CONF-757428,ORD-2026-758879,2027-01-20,Germany
CONF-448967,ORD-2026-427162,2027-02-04,Belgium
CONF-531066,ORD-2026-642081,2027-02-09,France
CONF-505537,ORD-2026-195629,30 Jan 2027,Poland
CONF-235410,ORD-2027-695417,2027-02-19,Netherlands
CONF-643725,ORD-2026-662625,2027-01-27,France
CONF-607711,ORD-2026-780130,2027-01-21,France
CONF-933958,ORD-2026-506941,2027-01-17,Sweden
CONF-823044,ORD-2027-726121,2027-02-08,Sweden
CONF-329212,ORD-2027-508422,2027-02-14,Poland
CONF-165014,ORD-2026-792687,2027-01-17,Italy
CONF-821403,ORD-2027-351742,2027-02-06,Germany
CONF-716886,ORD-2027-510154,16-02-2027,Poland
CONF-396080,ORD-2026-698097,2027-02-04,Netherlands
CONF-496566,ORD-2026-637179,2027-01-26,France
CONF-805796,ORD-2027-405844,2027-01-27,France
CONF-269041,ORD-2026-223794,17-01-2027,Netherlands
CONF-830889,ORD-2026-827744,2027-01-18,Poland
CONF-416900,ORD-2026-740916,2027-01-19,Italy
CONF-120773,ORD-2027-824038,2027-02-14,France
CONF-550405,ORD-2026-239116,2027-02-16,France
CONF-485600,ORD-2026-164407,2027-01-23T13:24:00,Germany
CONF-437456,ORD-2026-888669,2027-02-08,Italy
CONF-371679,ORD-2026-616096,08-01-2027,Sweden
CONF-486903,ORD-2026-506216,01/02/2027,France
CONF-949566,ORD-2027-620566,2027-01-31,Germany
CONF-295454,ORD-2026-532637,2027-02-05,Italy
CONF-444815,ORD-2026-429119,2027-02-05,Belgium
CONF-957939,ORD-2027-940480,2027-01-26,Italy
CONF-110043,ORD-2026-239136,2027-01-18,France
CONF-952188,ORD-2026-138328,2027-02-05,Belgium
CONF-435169,ORD-2026-121393,2027-01-21,Germany
CONF-960279,ORD-2026-789472,2027-01-10,Poland
CONF-419443,ORD-2027-871153,01-02-2027,Belgium
CONF-112885,ORD-2027-522548,2027-02-14,Belgium
CONF-185362,ORD-2027-549323,2027-02-01,Italy
CONF-187275,ORD-2027-642060,2027-02-09,France
CONF-475121,ORD-2026-336047,2027-02-07,Germany
CONF-913166,ORD-2026-108874,2027-01-06T15:19:00,Germany
CONF-243110,ORD-2026-613707,2027-01-27,Poland
CONF-107614,ORD-2026-657742,2027-01-22,Netherlands
CONF-632073,ORD-2027-422998,10-02-2027,Poland
CONF-407364,ORD-2026-712011,08-01-2027,France
CONF-575637,ORD-2027-759868,2027-02-05,Germany
CONF-497349,ORD-2027-500567,28/01/2027,Sweden
CONF-799040,ORD-2026-798359,2027-02-02,Germany
CONF-644022,ORD-2026-251074,2027-02-06,Germany
CONF-103234,ORD-2027-702433,2027-02-01,Germany
CONF-636270,ORD-2026-119895,2027-01-07,Sweden
CONF-573066,ORD-2027-292930,2027-02-06,Germany
CONF-988869,ORD-2027-785386,2027-02-09,Poland
CONF-254775,ORD-2026-615138,2027-01-24,Sweden
CONF-286583,ORD-2027-698199,2027-02-01,Germany
CONF-860652,ORD-2027-619900,2027-01-26,Belgium
CONF-343715,ORD-2026-822106,2027-01-22,Germany
CONF-575436,ORD-2027-226124,2027-01-27,Belgium
CONF-409242,ORD-2027-376085,2027-02-05,Belgium
CONF-183902,ORD-2026-537503,2027-01-16,Netherlands
CONF-486065,ORD-2026-269833,2027-01-19,Belgium
CONF-311500,ORD-2027-200195,26/01/2027,Poland
CONF-664271,ORD-2026-611751,01-02-2027,France
CONF-630734,ORD-2027-535945,2027-02-21,Netherlands
CONF-301205,ORD-2027-443194,2027-02-18,Belgium
CONF-929029,ORD-2027-275526,2027-02-02,Italy
CONF-991090,ORD-2026-326037,2027-02-07,Sweden
CONF-496065,ORD-2027-789886,11 Feb 2027,Netherlands
CONF-889842,ORD-2027-231432,2027-02-10,Netherlands
CONF-172866,ORD-2026-464158,2027-02-04,Netherlands
CONF-766216,ORD-2027-356600,2027-02-06,Sweden
CONF-272846,ORD-2026-302338,2027-02-17,Germany
CONF-860448,ORD-2027-491029,2027-02-15,Belgium
CONF-679764,ORD-2027-263573,18 Feb 2027,Belgium
CONF-860541,ORD-2026-132687,2027-01-15,Sweden
CONF-794791,ORD-2026-581966,2027-02-15,France
CONF-584617,ORD-2026-669097,19/01/2027,Germany
CONF-882209,ORD-2026-857888,11/01/2027,Italy
CONF-216335,ORD-2027-832614,2027-02-08,Italy
CONF-692592,ORD-2026-704663,21 Jan 2027,Italy
CONF-181290,ORD-2026-277409,2027-01-26,Sweden
CONF-881399,ORD-2026-732829,2027-01-27,Sweden
CONF-776681,ORD-2026-445852,2027-02-16T17:29:00,Poland
CONF-860579,ORD-2026-870033,2027-02-07,Poland
CONF-326667,ORD-2026-956835,2027-01-12,Germany
CONF-873105,ORD-2026-954987,31-01-2027,Germany
CONF-930835,ORD-2026-513927,2027-01-29,Germany
CONF-803176,ORD-2026-832045,2027-01-12T10:59:00,Italy
CONF-109968,ORD-2026-749208,26/01/2027,France
CONF-168553,ORD-2026-713543,09-01-2027,France
CONF-606773,ORD-2026-934883,2027-01-12,Italy
CONF-893679,ORD-2027-645980,2027-02-17,Netherlands
CONF-214499,ORD-2026-867333,2027-01-23,Belgium
CONF-542957,ORD-2026-772758,2027-02-03,Italy
CONF-549622,ORD-2026-943706,2027-02-04,Italy
CONF-955244,ORD-2026-570988,2027-01-15,Germany
CONF-279683,ORD-2027-296653,2027-02-05,Germany
CONF-508091,ORD-2026-440677,2027-01-20,Sweden
CONF-240855,ORD-2027-597012,2027-02-03,Germany
CONF-920827,ORD-2027-539673,2027-01-30,Netherlands
CONF-997845,ORD-2027-584887,2027-02-03,Netherlands
CONF-681636,ORD-2026-940534,17-01-2027,Netherlands
CONF-848244,ORD-2026-885587,2027-02-03,Poland
CONF-921169,ORD-2027-950576,2027-02-21,Germany
CONF-290824,ORD-2027-326665,2027-02-11,Italy
CONF-790881,ORD-2026-804179,2027-01-24,Italy
CONF-514254,ORD-2026-531228,2027-01-15,Germany
CONF-832964,ORD-2026-539128,2027-01-14,Germany
CONF-143892,ORD-2026-319984,06-01-2027,France
CONF-903562,ORD-2027-288006,2027-02-16,Belgium
CONF-712454,ORD-2026-570616,2027-01-21,Italy
CONF-699125,ORD-2026-736030,2027-01-25T13:16:00,Germany
CONF-316509,ORD-2026-308622,2027-02-04T11:19:00,Poland
CONF-306198,ORD-2027-516059,2027-01-27,Poland
CONF-580067,ORD-2026-615895,2027-02-10,Belgium
CONF-393042,ORD-2027-822622,2027-02-01,France
CONF-830139,ORD-2026-423026,2027-01-25,Italy
CONF-890110,ORD-2026-346120,2027-01-19,Belgium
CONF-881410,ORD-2027-287847,2027-01-31,Poland
CONF-576370,ORD-2026-827213,2027-01-14,Germany
CONF-230082,ORD-2026-755843,2027-02-02,Germany
CONF-735617,ORD-2026-371256,2027-01-28,Poland
CONF-989735,ORD-2026-448884,2027-02-08T08:35:00,Poland
CONF-454820,ORD-2026-448098,2027-01-25,Germany
CONF-224573,ORD-2026-935750,2027-02-05,Germany
CONF-868650,ORD-2027-539422,2027-02-15,Italy
CONF-794447,ORD-2026-191208,2027-01-26,Germany
CONF-889185,ORD-2026-618382,2027-01-17,Poland
CONF-614807,ORD-2026-648887,2027-01-17,Germany
CONF-311184,ORD-2026-836333,2027-01-23,Netherlands
CONF-287716,ORD-2027-999308,2027-01-29,Poland
CONF-282750,ORD-2026-772561,2027-01-29,Sweden
CONF-629837,ORD-2026-336706,2027-01-26,France
CONF-753476,ORD-2026-909652,2027-01-04,France
CONF-499841,ORD-2027-170835,2027-02-23,Belgium
CONF-107577,ORD-2026-911152,2027-01-21,France
CONF-967960,ORD-2027-882692,2027-02-06,Netherlands
CONF-591507,ORD-2026-200976,2027-02-02,France
CONF-501382,ORD-2027-943530,2027-02-02,Poland
CONF-744755,ORD-2027-261169,31/01/2027,Italy
CONF-313660,ORD-2027-863220,17-02-2027,Germany
CONF-399214,ORD-2027-155708,2027-02-21,Netherlands
CONF-808441,ORD-2026-484945,2027-02-08,Italy
CONF-785684,ORD-2027-598940,2027-02-02,Italy
CONF-947684,ORD-2026-932336,2027-02-08,France
CONF-333020,ORD-2026-981521,2027-01-27,Germany
CONF-997729,ORD-2027-234082,2027-01-29,Germany
CONF-859822,ORD-2026-158936,2027-02-03,Poland
CONF-871037,ORD-2027-238327,2027-02-10,Germany
CONF-815234,ORD-2027-335765,2027-02-20,Germany
CONF-319955,ORD-2027-365978,2027-02-08,Sweden
CONF-201295,ORD-2026-951331,2027-01-12,Italy
CONF-675402,ORD-2027-243601,2027-02-13,France
CONF-908735,ORD-2026-225805,2027-01-24,Netherlands
CONF-763874,ORD-2026-390848,2027-01-08,Germany
CONF-590106,ORD-2026-250181,2027-02-02,Netherlands
CONF-875165,ORD-2026-999488,2027-01-15,Sweden
CONF-414186,ORD-2027-866151,2027-02-04,Germany
CONF-253437,ORD-2026-276358,2027-02-04,Germany
CONF-502118,ORD-2026-707913,2027-01-22,Italy
CONF-172103,ORD-2026-880762,2027-02-02,Poland
CONF-519603,ORD-2026-243578,2027-02-09,Poland
CONF-126604,ORD-2027-761393,2027-02-05,Sweden
CONF-889013,ORD-2027-817318,2027-02-03,Poland
CONF-825452,ORD-2026-954779,2027-01-13T08:38:00,France
CONF-810287,ORD-2026-263690,2027-01-28,Germany
CONF-145785,ORD-2027-184120,2027-02-03,Belgium
CONF-908878,ORD-2027-580921,2027-01-13,Italy
CONF-731394,ORD-2026-623058,2027-01-29,Germany
CONF-136183,ORD-2027-666893,2027-01-23,Belgium
CONF-567965,ORD-2027-823153,2027-02-18,France
CONF-971598,ORD-2026-610268,2027-01-05,Poland
CONF-161847,ORD-2026-190674,2027-01-09,Belgium
CONF-514515,ORD-2027-411762,11/02/2027,Belgium
CONF-148439,ORD-2026-988459,2027-01-25,France
CONF-480441,ORD-2026-858711,09/01/2027,Netherlands
CONF-528649,ORD-2026-869105,2027-02-02,Belgium
CONF-268018,ORD-2026-110771,2027-02-02,Belgium
CONF-206759,ORD-2026-713886,2027-02-08,France
CONF-431272,ORD-2027-464187,2027-02-02T12:53:00,Belgium
CONF-797385,ORD-2026-986585,2027-02-01,Germany
CONF-351815,ORD-2026-647341,2027-01-23,Germany
CONF-429563,ORD-2027-937798,2027-02-08T10:36:00,Netherlands
CONF-473323,ORD-2026-661320,2027-01-21,Germany
CONF-230524,ORD-2027-531225,2027-02-17,Sweden
CONF-115722,ORD-2027-894586,2027-02-04,Sweden
CONF-622952,ORD-2026-137285,2027-02-14,Germany
CONF-737363,ORD-2026-952646,2027-02-07,Germany
CONF-272471,ORD-2026-330069,2027-02-14,France
CONF-812989,ORD-2026-613731,2027-01-19,Italy
CONF-930382,ORD-2026-665482,28-01-2027,Germany
CONF-479030,ORD-2026-282313,2027-01-14,France
CONF-304899,ORD-2027-408054,2027-01-30,France
CONF-200713,ORD-2027-142773,2027-02-18,Sweden
CONF-287214,ORD-2027-887931,2027-02-22,France
CONF-387796,ORD-2026-592489,2027-01-26,Germany
CONF-640882,ORD-2027-213844,2027-01-26,France
CONF-789922,ORD-2026-878533,2027-01-21,Sweden
CONF-952262,ORD-2026-273565,2027-01-30,Poland
CONF-167037,ORD-2027-407645,2027-02-03,Belgium
CONF-697586,ORD-2026-148215,2027-01-22,Italy
CONF-810860,ORD-2026-892843,2027-02-04,Poland
CONF-288678,ORD-2027-226550,02/02/2027,Belgium
CONF-991777,ORD-2027-439817,2027-01-25,France
CONF-531256,ORD-2026-115799,2027-01-27,Sweden
CONF-687324,ORD-2027-766833,2027-02-05,Germany
CONF-608306,ORD-2027-478458,2027-02-17,Poland
CONF-898347,ORD-2027-402380,2027-02-07,Netherlands
CONF-813612,ORD-2027-888996,2027-02-23,Poland
CONF-956046,ORD-2026-898100,2027-01-18,Germany
CONF-530819,ORD-2026-623866,2027-01-31,Netherlands
CONF-492446,ORD-2026-536135,2027-01-10,Italy
CONF-800302,ORD-2026-708502,2027-02-06,Belgium
CONF-360401,ORD-2026-433955,2027-01-28,Belgium
CONF-413630,ORD-2027-268010,2027-02-07,Poland
CONF-775699,ORD-2026-507652,2027-02-06,France
CONF-617795,ORD-2026-431845,2027-01-23,Italy
CONF-546004,ORD-2026-735132,2027-02-16,Germany
CONF-319765,ORD-2027-843596,2027-02-12,Italy
CONF-750338,ORD-2026-962520,2027-01-10,Belgium
CONF-167755,ORD-2026-903726,2027-02-05,Germany
CONF-887803,ORD-2026-475479,2027-02-01,Italy
CONF-426592,ORD-2026-891662,28 Jan 2027,France
CONF-488796,ORD-2027-123107,2027-02-15,Netherlands
CONF-578472,ORD-2026-600241,2027-01-06,Germany
CONF-111583,ORD-2026-393212,1 Feb 2027,Netherlands
CONF-553559,ORD-2027-377880,2027-02-18,France
CONF-703027,ORD-2027-432270,2027-01-28,France
CONF-634510,ORD-2026-296284,2027-01-30,Italy
CONF-995940,ORD-2027-816586,2027-01-27,France
CONF-199346,ORD-2026-267666,2027-01-28,France
CONF-207786,ORD-2027-626199,2027-02-13,Germany
CONF-297296,ORD-2026-665593,2027-01-22,Germany
CONF-497329,ORD-2026-675771,2027-01-30,France
CONF-721313,ORD-2027-122977,2027-02-05,Italy
CONF-747288,ORD-2027-800596,2027-02-11,Belgium
CONF-935259,ORD-2027-744693,2027-02-05T17:37:00,Belgium
CONF-544638,ORD-2027-952283,2027-02-08,Belgium
CONF-699672,ORD-2027-403936,2027-01-30,France
CONF-156700,ORD-2027-386929,2027-02-16,Belgium
CONF-447362,ORD-2026-320039,2027-02-03,Belgium
CONF-288301,ORD-2027-291267,2027-02-20,Belgium
CONF-176452,ORD-2027-510623,2027-02-14,Germany
