order_line_id,order_id,order_date,customer_id,delivery_place_id,product_id,product_description,product_type,quantity,uom,unit_price,currency
OL-003,ORD-2026-945197,2026-12-27,CUST-132938,DEL-68810561,PROD-583047,Veltric UPS 600VA Tower,Product,65,pcs,78.6,EUR
OL-002,ORD-2027-683165,2027-01-17,CUST-172132,DEL-42866956,PROD-192837,Droxel 65W GaN Charger,Product,31,pcs,28.4,EUR
OL-002,ORD-2027-638277,2027-01-23,CUST-946335,DEL-42560305,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,20,pcs,67.0,EUR
OL-001,ORD-2026-164407,2026-12-27T13:22:00,CUST-922733,DEL-64414096,PROD-583047,Veltric UPS 600VA Tower,Product,6,pcs,78.6,EUR
OL-003,ORD-2027-843596,2027-02-05,CUST-547470,DEL-60491958,PROD-271045,Vantec USB-C Hub 9-port,Product,41,pcs,34.5,EUR
OL-001,ORD-2027-678944,2027-01-07,CUST-627276,DEL-88831486,PROD-483921,Zoltrix 4K Display Module 27in,Product,96,pcs,189.99,EUR
OL-002,ORD-2026-669097,2026-12-25,CUST-169403,DEL-68743530,PROD-847263,Nexboard Mechanical Keyboard TKL,Product,94,pcs,67.0,EUR
OL-002,ORD-2027-641737,2027-01-11,CUST-520521,DEL-51936181,PROD-483921,Zoltrix 4K Display Module 27in,Product,37,pcs,189.99,EUR
OL-003,ORD-2026-249077,2026-12-09,CUST-771088,DEL-96911784,PROD-461829,Plonex Webcam 1080p Pro,Product,66,pcs,44.0,EUR
OL-001,ORD-2026-448098,2026-12-20,CUST-891952,DEL-73280554,PROD-583047,Veltric UPS 600VA Tower,Product,92,pcs,78.6,EUR
OL-003,ORD-2026-419588,2026-12-30,CUST-766563,DEL-60319927,PROD-639182,Blipcore Wireless Adapter AC1200,Product,97,pcs,22.8,EUR
OL-001,ORD-2026-578073,2026-12-20,CUST-571029,DEL-32814819,PROD-461829,Plonex Webcam 1080p Pro,Product,56,pcs,44.0,EUR
OL-002,ORD-2027-432270,2027-01-01,CUST-217308,DEL-78057490,PROD-583047,Veltric UPS 600VA Tower,Product,100,pcs,78.6,EUR
OL-001,ORD-2026-613707,2026-12-09,CUST-444207,DEL-96057593,PROD-583047,Veltric UPS 600VA Tower,Product,47,pcs,78.6,EUR
OL-001,ORD-2026-171542,2026-11-28,CUST-563246,DEL-45105069,PROD-483921,Zoltrix 4K Display Module 27in,Product,49,pcs,189.99,EUR
OL-001,ORD-2026-401244,2026-12-22,CUST-787277,DEL-52018286,PROD-738291,Quorvex 2TB NVMe SSD M.2,Product,87,pcs,112.5,EUR
